lr-AdamW,step,train/loss,train/loss_a,train/loss_f,train/loss_l,train/loss_ce,train/unscaled/loss_a,train/unscaled/loss_f,train/unscaled/loss_l,train/unscaled/loss_ce,epoch,val/loss,val/loss_a,val/loss_f,val/loss_l,val/loss_ce,val/unscaled/loss_a,val/unscaled/loss_f,val/unscaled/loss_l,val/unscaled/loss_ce,val/best/loss,val/best/loss_a,val/best/loss_f,val/best/loss_l,val/best/loss_ce,val/best/unscaled/loss_a,val/best/unscaled/loss_f,val/best/unscaled/loss_l,val/best/unscaled/loss_ce
0.0003,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.2343350499868393,0.14655517041683197,0.058987781405448914,0.02879209816455841,0.0,1.615770697593689,0.06503403186798096,12.697315216064453,0.0,0,,,,,,,,,,,,,,,,,,
0.0003,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.2276402711868286,0.15500159561634064,0.05537591502070427,0.017262756824493408,0.0,1.708892583847046,0.061051949858665466,7.612875938415527,0.0,0,,,,,,,,,,,,,,,,,,
0.00029999999284453685,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.21649064123630524,0.12888498604297638,0.0728936493396759,0.014712002128362656,0.0,1.4209569692611694,0.08036524802446365,6.487992763519287,0.0,1,,,,,,,,,,,,,,,,,,
0.00029999999284453685,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.20721879601478577,0.1414691060781479,0.05216311290860176,0.013586579822003841,0.0,1.5596967935562134,0.057509832084178925,5.9916815757751465,0.0,1,,,,,,,,,,,,,,,,,,
0.0002999999713781482,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,0.20369784533977509,0.1385546326637268,0.05491935461759567,0.010223856195807457,0.0,1.5275647640228271,0.06054858863353729,4.508720397949219,0.0,2,,,,,,,,,,,,,,,,,,
0.0002999999713781482,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,0.23371875286102295,0.14151199162006378,0.07246861606836319,0.01973813958466053,0.0,1.5601695775985718,0.07989665120840073,8.704519271850586,0.0,2,,,,,,,,,,,,,,,,,,
0.000299999935600836,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,0.19870556890964508,0.12622560560703278,0.0503527969121933,0.022127168253064156,0.0,1.3916373252868652,0.055513959378004074,9.758081436157227,0.0,3,,,,,,,,,,,,,,,,,,
0.000299999935600836,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,0.2192830890417099,0.14579279720783234,0.059513166546821594,0.013977126218378544,0.0,1.6073654890060425,0.0656132698059082,6.163912773132324,0.0,3,,,,,,,,,,,,,,,,,,
0.000299999885512604,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,0.19984760880470276,0.1242540031671524,0.06648428738117218,0.009109322912991047,0.0,1.3699003458023071,0.07329893112182617,4.017211437225342,0.0,4,,,,,,,,,,,,,,,,,,
0.000299999885512604,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,0.23857280611991882,0.15159191191196442,0.07285454124212265,0.014126358553767204,0.0,1.6713007688522339,0.08032213151454926,6.229723930358887,0.0,4,,,,,,,,,,,,,,,,,,
,529,,,,,,,,,,4,0.17809376120567322,0.1144837737083435,0.053504232317209244,0.010105756111443043,0.0,1.2621835470199585,0.05898841843008995,4.456638336181641,0.0,0.17809376120567322,0.1144837737083435,0.053504232317209244,0.010105756111443043,0.0,1.2621835470199585,0.05898841843008995,4.456638336181641,0.0
0.00029999982111345697,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,549,0.1919020563364029,0.10207484662532806,0.06344263255596161,0.026384571567177773,0.0,1.1253751516342163,0.06994550675153732,11.63559627532959,0.0,5,,,,,,,,,,,,,,,,,,
0.00029999982111345697,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,0.17550966143608093,0.1198577955365181,0.04895971342921257,0.006692152936011553,0.0,1.321432113647461,0.0539780855178833,2.9512393474578857,0.0,5,,,,,,,,,,,,,,,,,,
0.00029999974240340135,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,0.1853657066822052,0.11427184194326401,0.05657898262143135,0.014514874666929245,0.0,1.2598470449447632,0.062378328293561935,6.401059627532959,0.0,6,,,,,,,,,,,,,,,,,,
0.00029999974240340135,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,0.1658664494752884,0.08981887996196747,0.05895973742008209,0.01708783209323883,0.0,0.9902530908584595,0.06500311195850372,7.535733699798584,0.0,6,,,,,,,,,,,,,,,,,,
0.0002999996493824449,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
